"nbsp","sing.sp","FRic","qual.FRic","FEve","FDis","RaoQ","simpson","fct","id"
771,771,2.99346151035965,0.0915620737194472,0.338263473615972,0.183369439818703,0.0528170654327004,0.408397259213023,1,"1804000801"
1433,1433,2.92414924878878,0.0923115965220113,0.568428823235937,0.180498387945933,0.0535359318516977,0.387909125995437,2,"1804000801"
1297,1297,1.30091354711292,0.113900766279549,0.666256977185905,0.17167217055912,0.0499494288898049,0.377590608295353,4,"1804000801"
727,727,0.678611881359934,0.142889700980556,0.716314878653014,0.177451286011622,0.0536963766312701,0.378406644499432,8,"1804000801"
363,363,0.283194239664932,0.193933533350549,0.791720594608605,0.177836795089831,0.0537502215033122,0.394308947585148,16,"1804000801"
533,533,2.34255422423645,0.107987789699749,0.390022431987915,0.132923078101628,0.042193453843792,0.241384802706509,1,"1804000802"
999,999,1.85031500624177,0.125747574643863,0.598723708289096,0.136348637462457,0.044366672327745,0.245159796696243,2,"1804000802"
1014,1014,1.15342146208756,0.127978428128829,0.699464134242292,0.138932921611169,0.0453685529656926,0.255242644559993,4,"1804000802"
574,574,0.592440628657208,0.163653495114872,0.744984133483561,0.145544322893528,0.0481129641836404,0.273552286264108,8,"1804000802"
292,292,0.244827262291518,0.227114293607916,0.775908663466391,0.145413724380924,0.0454377783076089,0.312982728698482,16,"1804000802"
2560,2560,196.316335894527,0.0151617307123304,0.448904381162838,0.264384377252059,0.0774452585080107,0.664672622354649,1,"1804000803"
3355,3355,69.0942676726393,0.0178092584029287,0.611521629613989,0.266485175359376,0.078798728141242,0.664559685604702,2,"1804000803"
3018,3018,8.9192825559097,0.0319574937824071,0.735795272701358,0.264714251643887,0.077560014122317,0.671333437090329,4,"1804000803"
1806,1806,1.17003962648855,0.0756579051210849,0.777918986317827,0.26309713523259,0.0765418640482034,0.687158475697249,8,"1804000803"
849,849,0.320296687762868,0.148711189117014,0.8384499066802,0.270298407590483,0.0809486698605335,0.719603128558615,16,"1804000803"
77,77,1.36461013447574,0.316219933265741,0.445671098593518,0.0160895099528337,0.00595017092969861,0.0228374775678118,1,"1804000901"
149,149,0.387884658188908,0.255181515480643,0.638094483894551,0.0151566003257113,0.00550198141874775,0.0225116947212759,2,"1804000901"
155,155,0.104393711602976,0.306563303822977,0.765965721970722,0.0145605667052622,0.00510638085932317,0.0235082301986071,4,"1804000901"
82,82,0.0478132814657864,0.413974934951723,0.818825721347335,0.014717075101586,0.00492605328311849,0.0264801126802989,8,"1804000901"
42,42,0.0211976881499929,0.546405160123037,0.869688449817656,0.0164094873078524,0.00516341527806724,0.0330895984285835,16,"1804000901"
155,155,0.56786477256484,0.273526199274053,0.462587553721528,0.0489423407611981,0.0148430058533989,0.0934565138206419,1,"1804000902"
216,216,0.57082475221634,0.26553885531691,0.581039905697607,0.0417109196958112,0.0124007575285463,0.0812153689309583,2,"1804000902"
167,167,0.414955210786874,0.276104204239241,0.657037780758767,0.0409144913374054,0.0128409985515573,0.0760032320259522,4,"1804000902"
89,89,0.207166252739534,0.344000707155422,0.753256459666933,0.0421603936736295,0.0132988289476535,0.0784335485096948,8,"1804000902"
46,46,0.101161421398547,0.463599249163763,0.830135229156227,0.0497708619126131,0.0156349188449023,0.0939993067919577,16,"1804000902"
1445,1445,82.4444195379187,0.0228879561268236,0.454286345879937,0.289896036762106,0.088239303663942,0.813925445669549,1,"1804000903"
2019,2019,64.2678323108751,0.0229120777222357,0.616392979481099,0.28754413309357,0.0864509271479521,0.767176301586644,2,"1804000903"
1775,1775,11.6408323747141,0.0388156741682262,0.738085458591642,0.28187476790607,0.0835478409917907,0.74276597377818,4,"1804000903"
1003,1003,1.09780903282524,0.0994289109084406,0.788583081978756,0.284067286631271,0.0850539662650407,0.744748618024509,8,"1804000903"
448,448,0.215495199025382,0.204930519617544,0.833620094048765,0.279581486036393,0.0824817881482145,0.776442477842247,16,"1804000903"
557,557,2.01760942527909,0.117447169123133,0.425372735342482,0.28688233126698,0.0901505181019365,0.626521660660963,1,"1804000904"
979,979,2.21210797546798,0.107669650288754,0.573555630532632,0.264152681606292,0.0822740998231354,0.554183335958287,2,"1804000904"
819,819,0.979025211932386,0.138847760905282,0.654763065423805,0.248926022705921,0.076840535222225,0.516263058365314,4,"1804000904"
469,469,0.358888771911319,0.183794887108575,0.699023557297845,0.251903293486434,0.0794983631623103,0.511458293181169,8,"1804000904"
244,244,0.227233647007466,0.247709419836472,0.738710050136249,0.27362943342017,0.0925758128646889,0.530508158331888,16,"1804000904"
1760,1760,158.342326749717,0.0197844522827597,0.451091009942396,0.265860018868799,0.0784218652472271,0.627869778144527,1,"1804000905"
2251,2251,76.2708087877048,0.0202825857084686,0.602544403529045,0.258260111863787,0.07710892701012,0.589182277883102,2,"1804000905"
2013,2013,9.70834625598125,0.0432786196995376,0.719014642845477,0.24824869505615,0.0733129636062618,0.56752977302787,4,"1804000905"
1199,1199,1.41129004611129,0.105635752263562,0.772295938204764,0.248365387690894,0.0738982402752797,0.565026680437185,8,"1804000905"
581,581,0.587893477357979,0.149830960954925,0.824070466900389,0.253967985683674,0.0766588048042705,0.58724582865684,16,"1804000905"
956,956,33.2984727558078,0.0378321741851799,0.460266828660334,0.218483315315473,0.059617739684388,0.946968997903203,1,"1804000906"
1161,1161,9.92967815481225,0.0515595606683292,0.592207302941407,0.223743982467645,0.0624524214818874,0.946911990998684,2,"1804000906"
956,956,1.19654995179856,0.124606099765264,0.679042588734203,0.2212352203666,0.0610668210412708,0.948267569905309,4,"1804000906"
590,590,0.575944140058777,0.172843413029613,0.723908737800875,0.224288518803179,0.0632243997778187,0.950512096055419,8,"1804000906"
295,295,0.277285935323578,0.234428511058007,0.747884310797308,0.221373772663881,0.0617315475283481,0.95457182718697,16,"1804000906"
1539,1539,18.1550837837785,0.0402326023548545,0.495722978557345,0.180096114109447,0.0450197579575115,0.981213917331327,1,"1804000907"
1818,1818,8.20649551974636,0.0436162058846559,0.606352026604918,0.17668960836301,0.0439769114119409,0.98198730085648,2,"1804000907"
1526,1526,1.19970906801868,0.0749529175735993,0.688773738235695,0.175538738225128,0.0443993185720656,0.982471550126074,4,"1804000907"
954,954,0.290333671956475,0.137909705212827,0.728497873542901,0.171380998622811,0.0430499990916613,0.982183865455034,8,"1804000907"
484,484,0.0938605995666654,0.211202668509836,0.769728460394771,0.16732502557137,0.0419233833677704,0.981654074107587,16,"1804000907"
