"nbsp","sing.sp","FEve","FDis","RaoQ","simpson"
817,817,0.357434748725601,0.189101489007725,0.0546235549898084,0.412190352358268
528,528,0.372907895342296,0.131011641344333,0.0399767985480339,0.244899039492797
1992,1992,0.419664175399567,0.261555442479868,0.0764120077068109,0.667649002121456
74,74,0.371426464700938,0.0158140531659895,0.00557022289967785,0.0236650423259027
141,141,0.409354946976923,0.0510234846053534,0.0150948979415112,0.0952665110925381
896,896,0.395835293870267,0.298551515595896,0.0927928013055318,0.816412853015732
625,625,0.389464541599461,0.289228912435528,0.0913390430265598,0.628706967847016
1242,1242,0.424473323511669,0.259873063052385,0.0747240575983259,0.630643687950788
708,708,0.414137453601387,0.215374784368161,0.0598645471193747,0.948945150329054
1028,1028,0.427659016635113,0.169355102217019,0.0440007220045048,0.981255333672441
